Insert Index;Insert Time (ms);Insert Operation Count;Search Index;Contains Time (ms);Contains Operation Count;Delete Time (ms);Delete Operations Count
688;600;55;;;;;
689;500;46;;;;;
690;700;49;;;;;
691;1100;97;;;;;
692;600;61;;;;;
693;600;43;;;;;
694;800;64;;;;;
695;500;43;;;;;
696;700;64;;;;;
697;500;40;;;;;
698;800;65;;;;;
699;600;59;;;;;
700;700;59;;;;;
701;500;40;;;;;
702;500;50;;;;;
703;1200;90;;;;;
704;700;65;;;;;
705;1200;100;;;;;
706;1200;72;;;;;
707;1100;103;;;;;
708;500;50;;;;;
709;700;67;;;;;
710;600;44;;;;;
711;600;49;;;;;
712;800;71;;;;;
713;800;65;;;;;
714;800;62;;;;;
715;600;53;;;;;
716;1100;87;;;;;
717;700;49;;;;;
718;600;64;;;;;
719;700;55;;;;;
720;700;56;;;;;
721;600;58;;;;;
722;600;41;;;;;
723;500;40;;;;;
724;800;47;;;;;
725;500;36;;;;;
726;500;46;;;;;
727;1000;82;;;;;
728;500;40;;;;;
729;600;53;;;;;
730;700;68;;;;;
731;700;75;;;;;
732;600;48;;;;;
733;600;68;;;;;
734;500;53;;;;;
735;1200;95;;;;;
736;800;60;;;;;
737;700;59;;;;;
738;800;76;;;;;
739;600;49;;;;;
740;500;47;;;;;
741;600;52;;;;;
742;700;76;;;;;
743;600;59;;;;;
744;800;76;;;;;
745;700;60;;;;;
746;500;51;;;;;
747;400;46;;;;;
748;600;57;;;;;
749;600;62;;;;;
750;800;73;;;;;
751;700;58;;;;;
752;500;49;;;;;
753;500;45;;;;;
754;600;67;;;;;
755;2000;93;;;;;
756;700;61;;;;;
757;500;47;;;;;
758;900;90;;;;;
759;500;52;;;;;
760;500;43;;;;;
761;500;53;;;;;
762;500;48;;;;;
763;600;59;;;;;
764;900;78;;;;;
765;500;57;;;;;
766;1300;51;;;;;
767;500;42;;;;;
768;1700;59;;;;;
769;700;59;;;;;
770;500;48;;;;;
771;600;51;;;;;
772;1000;88;;;;;
773;600;54;;;;;
774;1700;96;;;;;
775;600;42;;;;;
776;800;79;;;;;
777;600;42;;;;;
778;400;42;;;;;
779;500;44;;;;;
780;800;49;;;;;
781;700;68;;;;;
782;1200;85;;;;;
783;900;42;;;;;
784;600;47;;;;;
785;800;64;;;;;
786;500;42;;;;;
787;900;64;;;;;
788;500;48;;;;;
789;700;38;;;;;
790;500;55;;;;;
791;700;66;;;;;
792;700;59;;;;;
793;1000;96;;;;;
794;1100;112;;;;;
795;600;51;;;;;
796;800;77;;;;;
797;600;52;;;;;
798;600;42;;;;;
799;900;68;;;;;
800;700;68;;;;;
801;1200;85;;;;;
802;700;54;;;;;
803;800;69;;;;;
804;600;49;;;;;
805;500;55;;;;;
806;700;50;;;;;
807;500;40;;;;;
808;600;48;;;;;
809;600;53;;;;;
810;500;54;;;;;
811;500;48;;;;;
812;600;58;;;;;
813;600;51;;;;;
814;700;64;;;;;
815;700;49;;;;;
816;700;57;;;;;
817;600;59;;;;;
818;700;49;;;;;
819;500;60;;;;;
820;600;51;;;;;
821;600;61;;;;;
822;500;53;;;;;
823;1400;108;;;;;
824;600;57;;;;;
825;500;48;;;;;
826;700;53;;;;;
827;600;51;;;;;
828;500;49;;;;;
829;900;64;;;;;
830;800;57;;;;;
831;600;63;;;;;
832;800;75;;;;;
833;600;53;;;;;
834;500;44;;;;;
835;600;53;;;;;
836;500;52;;;;;
837;500;53;;;;;
838;500;51;;;;;
839;700;72;;;;;
840;700;64;;;;;
841;800;92;;;;;
842;600;65;;;;;
843;900;65;;;;;
844;500;49;;;;;
845;700;65;;;;;
846;700;65;;;;;
847;500;46;;;;;
848;500;40;;;;;
849;700;70;;;;;
850;500;42;;;;;
851;500;52;;;;;
852;700;71;;;;;
853;1100;78;;;;;
854;800;64;;;;;
855;400;42;;;;;
856;500;47;;;;;
857;500;42;;;;;
858;600;64;;;;;
859;500;46;;;;;
860;900;97;;;;;
861;500;61;;;;;
862;700;64;;;;;
863;800;49;;;;;
864;700;54;;;;;
865;700;46;;;;;
866;500;46;;;;;
867;700;67;;;;;
868;700;59;;;;;
869;600;51;;;;;
870;500;50;;;;;
871;800;55;;;;;
872;600;49;;;;;
873;700;57;;;;;
874;1300;61;;;;;
875;900;64;;;;;
876;400;40;;;;;
877;700;57;;;;;
878;400;50;;;;;
879;600;59;;;;;
880;600;54;;;;;
881;700;52;;;;;
882;900;82;;;;;
883;600;53;;;;;
884;800;61;;;;;
885;700;72;;;;;
886;700;79;;;;;
887;400;49;;;;;
888;700;49;;;;;
889;600;42;;;;;
890;500;54;;;;;
891;700;53;;;;;
892;600;70;;;;;
893;600;42;;;;;
894;600;57;;;;;
895;900;55;;;;;
896;1000;62;;;;;
897;600;46;;;;;
898;800;70;;;;;
899;700;59;;;;;
900;700;53;;;;;
901;1000;82;;;;;
902;800;78;;;;;
903;600;51;;;;;
904;900;85;;;;;
905;500;46;;;;;
906;500;46;;;;;
907;600;62;;;;;
908;1000;92;;;;;
909;600;46;;;;;
910;1200;144;;;;;
911;800;69;;;;;
912;800;69;;;;;
913;2100;66;;;;;
914;500;65;;;;;
915;1100;106;;;;;
916;800;87;;;;;
917;500;46;;;;;
918;1000;67;;;;;
919;500;50;;;;;
920;700;65;;;;;
921;800;75;;;;;
922;500;51;;;;;
923;500;53;;;;;
924;800;80;;;;;
925;800;80;;;;;
926;500;44;;;;;
927;1400;85;;;;;
928;600;49;;;;;
929;600;51;;;;;
930;800;73;;;;;
931;800;78;;;;;
932;900;83;;;;;
933;900;61;;;;;
934;700;59;;;;;
935;600;48;;;;;
936;1000;94;;;;;
937;500;49;;;;;
938;700;59;;;;;
939;600;61;;;;;
940;500;45;;;;;
941;800;77;;;;;
942;600;53;;;;;
943;600;58;;;;;
944;600;61;;;;;
945;700;66;;;;;
946;2200;90;;;;;
947;1000;63;;;;;
948;600;58;;;;;
949;600;53;;;;;
950;800;71;;;;;
951;400;48;;;;;
952;600;64;;;;;
953;900;97;;;;;
954;700;57;;;;;
955;600;57;;;;;
956;500;63;;;;;
957;700;53;;;;;
958;600;50;;;;;
959;600;53;;;;;
960;600;50;;;;;
961;700;72;;;;;
962;800;55;;;;;
963;500;38;;;;;
964;800;74;;;;;
965;900;89;;;;;
966;900;106;;;;;
967;500;58;;;;;
968;500;50;;;;;
969;800;70;;;;;
970;600;67;;;;;
971;500;65;;;;;
972;900;70;;;;;
973;500;54;;;;;
974;500;54;;;;;
975;700;51;;;;;
976;900;80;;;;;
977;1100;107;;;;;
978;400;42;;;;;
979;900;94;;;;;
980;800;72;;;;;
981;700;55;;;;;
982;800;83;;;;;
983;600;53;;;;;
984;1100;79;;;;;
985;900;85;;;;;
986;500;42;;;;;
987;800;89;;;;;
988;800;52;;;;;
989;800;74;;;;;
990;500;48;;;;;
991;800;81;;;;;
992;500;48;;;;;
993;400;46;;;;;
994;700;62;;;;;
995;1100;111;;;;;
996;800;82;;;;;
997;400;48;;;;;
998;500;42;;;;;
999;700;85;;;;;
1000;1200;125;;;;;
1001;500;48;;;;;
1002;400;48;;;;;
1003;600;50;;;;;
1004;800;65;;;;;
1005;800;72;;;;;
1006;400;52;;;;;
1007;800;63;;;;;
1008;700;63;;;;;
